player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,id,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totalAppearances,touches,wasFouled,yellowCards,yellowRedCards
Declan Rice,Arsenal,M,64,45,27.10843373,501,81,49.09090909,982,768,1750,87.58758759,48,66.66666667,24,34,5,0,0,170,16,3,13,11,70,0,0,17,13,94,1,0,6.5350035,3.1747,26,0,10,0,4,9,,87,55.41401274,1,0,0,2145603,248,35,62,0,33,2919,1,12,0,1,0,0,0,0,0,0,0,462,12,0,7.441176471,0,3,0,0,0,0,0,0,729.75,0,5,13,27,14,13,14,50,0,64,33,51.5625,61,118,28,166,135,58.95196507,165,1166,832,1998,40,3,2591,9,3,0
Gabriel Magalhães,Arsenal,D,41,1,20,196,73,45.34161491,555,860,1415,88.27199002,94,62.25165563,57,29,4,0,0,59,5,4,10,15,166,0,0,4,6,84,1,2,1.77176018,2.623,18,0,12.5,44,3,7,,67,71.27659574,1,0,2,2145611,188,22,7,2,28,2526,0,32,0,0,0,0,0,0,0,0,0,216,2,0,7.3,0,0,0,0,0,0,0,0,842,0,0,20,4,8,6,1,50,0,36,19,52.77777778,7,91,2,5,161,65.71428571,161,684,919,1603,24,5,1994,30,4,0
Bukayo Saka,Arsenal,F,15,37,32.17391304,314,14,35.8974359,441,111,552,76.88022284,22,44.89795918,27,29,4,0,0,109,11,8,23,7,10,0,0,30,15,143,0,1,6.62425466,7.314,29,0,10.60606061,0,7,11,,137,54.15019763,1,0,1,2145631,166,15,59,4,23,2055,14,0,0,2,1,0,100,0,1,0,0,376,26,0,7.265517241,0,2,0,0,0,0,0,0,293.5714286,0,2,50,16,16,27,50,53.19148936,0,36,17,47.22222222,57,37,94,115,159,52.64900662,39,583,135,718,66,5,1287,51,1,0
Martín Zubimendi,Arsenal,M,48,2,18.18181818,391,51,47.6635514,881,716,1597,87.60285244,65,68.42105263,30,35,1,0,0,112,1,2,8,10,74,0,0,10,21,98,2,3,2.21511757,2.8516,31,0,18.51851852,0,5,6,,85,55.55555556,2,0,2,2145641,226,39,18,0,33,2871,1,5,0,0,0,0,0,0,0,0,0,291,7,0,7.068571429,0,3,0,0,0,0,0,0,574.2,0,0,20,7,10,9,7,46.66666667,0,67,38,56.71641791,18,95,15,11,150,60.48387097,107,1049,774,1823,27,2,2206,13,4,0
William Saliba,Arsenal,D,26,4,44.44444444,245,55,50,651,1166,1817,92.65680775,67,54.91803279,55,29,0,0,0,106,1,2,1,13,121,0,0,8,6,93,0,2,1.24705521,0.8575,21,0,20,23,1,1,,55,59.13978495,1,0,0,2145639,144,17,10,0,28,2435,1,6,0,0,0,0,0,0,0,0,0,176,2,0,6.996428571,0,0,0,0,0,0,0,0,2435,0,0,5,0,3,1,7,70,0,33,21,63.63636364,10,52,10,9,122,56.74418605,110,747,1214,1961,5,0,2243,15,1,0
Martin Ødegaard,Arsenal,M,28,6,27.27272727,268,35,53.84615385,427,200,627,84.61538462,3,37.5,5,22,5,0,0,65,6,0,4,3,6,0,0,12,11,51,0,1,3.47289793,1.0175,9,0,4.761904762,0,1,6,,35,43.20987654,0,0,0,2145629,114,7,38,1,15,1258,2,0,0,1,0,0,0,0,0,0,0,179,18,0,6.995454545,0,0,0,0,0,0,0,0,1258,0,0,9,12,9,8,9,39.13043478,0,19,8,42.10526316,37,71,23,22,38,42.69662921,65,524,217,741,21,2,898,7,0,0
Eberechi Eze,Arsenal,M,12,2,16.66666667,204,15,41.66666667,332,158,490,83.61774744,9,29.03225806,22,30,2,0,0,71,4,1,21,2,10,0,0,22,6,84,0,1,2.57273945,4.2063,16,0,12.5,0,7,9,,79,56.02836879,0,0,1,2143784,96,10,14,1,20,1745,1,1,0,0,0,0,0,0,0,0,0,177,16,0,6.966666667,0,6,0,0,0,0,0,0,249.2857143,0,0,31,25,18,17,26,56.52173913,0,18,13,72.22222222,14,30,46,12,88,51.1627907,36,409,177,586,56,2,863,35,1,0
Piero Hincapie,Arsenal,D,14,4,12.90322581,155,22,36.06557377,343,348,691,88.58974359,31,50.81967213,30,23,2,0,0,59,2,0,1,4,85,0,0,5,12,69,0,0,1.60845183,0.3286,18,0,50,4,1,3,,67,63.20754717,0,0,0,2395084,89,24,13,1,19,1684,1,9,1,0,0,0,0,0,0,0,0,163,3,0,6.934782609,0,0,0,0,0,0,0,0,1684,0,0,1,1,0,1,7,50,0,47,26,55.31914894,13,26,14,31,98,58.68263473,61,402,378,780,2,1,1179,14,2,0
Leandro Trossard,Arsenal,F,35,14,25.45454545,261,29,42.64705882,404,129,533,76.80115274,6,33.33333333,12,29,6,0,0,74,7,6,18,3,14,0,0,37,16,107,0,1,3.4157725,4.95,13,0,10.41666667,0,5,11,,84,46.9273743,0,0,2,2164655,161,9,34,1,19,1827,5,3,0,0,0,0,0,0,0,0,0,320,9,0,6.913793103,0,4,0,0,0,0,0,0,365.4,0,0,35,13,17,13,23,43.39622642,0,26,17,65.38461538,34,73,53,55,90,45.68527919,68,541,153,694,48,2,1104,36,1,0
Jurrien Timber,Arsenal,D,18,6,13.04347826,344,20,38.46153846,573,352,925,85.25345622,40,66.66666667,20,30,5,0,0,97,4,7,3,11,53,0,0,25,9,110,0,1,1.60875528,4.7688,38,0,12,0,3,8,,107,54.31472081,2,0,0,2145601,160,24,27,0,28,2457,0,6,0,0,0,0,0,0,0,0,1,302,7,0,6.913333333,0,1,0,0,0,0,0,0,819,0,0,24,1,15,7,13,39.39393939,0,66,37,56.06060606,27,42,33,46,147,57.19844358,52,695,390,1085,25,1,1656,29,5,0
Cristhian Mosquera,Arsenal,D,10,0,0,72,8,42.10526316,169,267,436,91.40461216,13,39.39393939,20,17,0,0,0,27,0,0,0,1,37,0,0,1,4,39,0,1,0.50960324,0.096,13,0,0,2,0,0,,30,61.2244898,0,0,0,2164659,41,8,3,0,7,778,1,6,0,0,0,0,0,0,0,0,0,57,0,0,6.886666667,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,26,17,65.38461538,3,17,1,1,43,52.43902439,19,188,289,477,1,0,604,4,3,0
David Raya,Arsenal,G,51,0,0,82,189,34.61538462,154,529,683,65.23400191,8,88.88888889,1,35,0,0,0,295,0,0,0,17,34,1,0,0,0,1,1,3,0.10810685,,0,0,0,124,0,0,-1.9275,14,100,0,33,0,2145637,364,1,3,0,35,3150,0,0,0,0,0,0,0,0,0,0,0,373,0,8,6.885714286,0,0,32,42,14,57,0,10,0,0,0,0,0,0,0,1,100,32,1,1,100,3,79,1,0,22,95.65217391,546,480,567,1047,0,2,1377,12,1,0
Riccardo Calafiori,Arsenal,D,8,3,14.28571429,169,19,51.35135135,303,278,581,85.69321534,42,60,28,23,2,0,0,67,0,2,9,4,50,0,0,9,8,75,0,1,0.51035235,3.1266,25,0,3.448275862,0,1,3,,55,53.92156863,1,0,2,2145621,97,15,6,0,19,1545,4,4,0,0,0,0,0,0,0,0,0,183,5,0,6.877272727,0,0,0,0,0,0,0,0,1545,0,0,20,9,13,7,15,71.42857143,0,32,19,59.375,6,15,21,21,97,56.39534884,37,359,319,678,29,1,1060,9,5,0
Ben White,Arsenal,D,7,3,20,110,10,32.25806452,163,113,276,81.4159292,12,44.44444444,15,11,1,0,0,28,3,0,1,3,25,0,0,2,8,31,0,0,0.67159051,0.4567,5,0,0,0,0,1,,24,60,0,0,0,2145609,63,9,8,0,8,685,3,4,0,0,0,0,0,0,0,0,0,97,4,0,6.863636364,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,3,75,0,15,9,60,8,22,4,15,36,53.73134328,31,215,124,339,5,0,526,6,0,0
Mikel Merino,Arsenal,M,8,0,0,96,7,33.33333333,164,105,269,75.77464789,28,39.43661972,43,21,3,0,0,55,4,4,6,2,19,0,0,17,6,92,0,0,1.45131127,3.0097,21,0,19.04761905,0,4,7,,51,51,3,0,0,2145649,86,10,12,0,10,1007,3,2,0,0,0,0,0,0,0,0,0,133,8,0,6.861904762,0,1,0,0,0,0,0,0,251.75,0,0,17,4,7,8,5,41.66666667,0,26,13,50,12,21,12,4,79,46.19883041,21,237,118,355,21,1,539,20,1,0
Max Dowman,Arsenal,M,0,1,16.66666667,14,0,0,21,4,25,89.28571429,0,0,2,5,0,0,0,8,0,0,1,0,0,0,0,3,2,18,0,0,0.15502657,1.1825,1,0,16.66666667,0,1,1,,13,44.82758621,0,0,0,2164649,3,1,3,1,0,100,0,0,0,0,0,0,0,0,0,0,1,25,1,0,6.84,0,0,0,0,0,0,0,0,100,0,0,5,1,4,1,5,33.33333333,0,2,2,100,3,0,15,6,13,41.93548387,0,24,4,28,6,0,79,6,0,0
Noni Madueke,Arsenal,M,8,15,19.73684211,152,10,52.63157895,217,61,278,75.54347826,10,47.61904762,11,24,1,0,0,32,5,2,8,0,6,0,0,16,20,91,0,0,2.52389481,1.0509,15,0,9.090909091,0,2,3,,62,43.66197183,1,0,0,2145617,90,4,19,1,15,1133,4,1,0,0,0,0,0,0,0,0,0,241,9,0,6.830434783,0,0,0,0,0,0,0,0,566.5,0,0,19,3,6,8,26,46.42857143,0,21,10,47.61904762,19,16,56,76,72,44.17177914,19,296,72,368,22,2,668,15,0,0
Ethan Nwaneri,Arsenal,M,3,0,0,26,5,55.55555556,42,37,79,90.8045977,1,25,3,6,0,0,0,10,0,0,2,0,1,0,0,2,3,14,0,0,0.08285118,0.2321,2,0,0,0,0,0,,4,26.66666667,0,0,0,2164657,8,0,1,0,0,175,0,0,0,0,0,0,0,0,0,0,0,20,2,0,6.74,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,3,37.5,0,1,0,0,1,5,8,2,5,26.31578947,9,48,39,87,6,0,121,0,0,0
Myles Lewis-Skelly,Arsenal,D,4,0,0,58,5,50,107,134,241,90.94339623,4,28.57142857,10,17,0,0,0,23,0,0,1,1,10,0,0,7,2,27,0,1,0.16848801,0.107,7,0,0,0,0,0,,26,60.46511628,0,0,0,2145645,24,4,4,0,3,525,1,1,0,0,0,0,0,0,0,0,0,46,1,0,6.633333333,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,88.88888889,0,8,5,62.5,4,6,9,0,30,52.63157895,10,123,142,265,2,0,369,10,3,0
Kai Havertz,Arsenal,F,3,0,0,38,1,33.33333333,56,20,76,68.46846847,15,40.54054054,22,9,2,0,0,12,0,5,3,0,7,0,0,7,6,40,0,0,0.14197128,2.5193,5,0,8.333333333,0,1,3,,16,47.05882353,0,0,0,2145647,35,0,5,0,6,442,2,1,0,0,0,0,0,0,0,0,0,67,3,0,6.622222222,0,1,0,0,0,0,0,0,442,0,0,9,3,6,3,3,60,0,5,3,60,5,4,5,3,31,43.66197183,3,86,25,111,12,0,192,8,0,0
